Mode,Amperometric i-t Curve,
446.9,0.01088,5.44
447,0.01088,5.44
447.1,0.01087,5.435
447.2,0.01088,5.44
447.3,0.01087,5.435
447.4,0.01089,5.445
447.5,0.01089,5.445
447.6,0.01088,5.44
447.7,0.01089,5.445
447.8,0.01088,5.44
447.9,0.01088,5.44
448,0.01087,5.435
448.1,0.01089,5.445
448.2,0.01089,5.445
448.3,0.01089,5.445
448.4,0.01089,5.445
448.5,0.01089,5.445
448.6,0.01088,5.44
448.7,0.01087,5.435
448.8,0.01088,5.44
448.9,0.01088,5.44
449,0.01088,5.44
449.1,0.01087,5.435
449.2,0.01087,5.435
449.3,0.01088,5.44
449.4,0.01089,5.445
449.5,0.01089,5.445
449.6,0.01088,5.44
449.7,0.01088,5.44
449.8,0.01088,5.44
449.9,0.01088,5.44
450,0.01088,5.44
450.1,0.01088,5.44
450.2,0.01088,5.44
450.3,0.01088,5.44
450.4,0.01088,5.44
450.5,0.01088,5.44
450.6,0.01088,5.44
450.7,0.01087,5.435
450.8,0.01088,5.44
450.9,0.01088,5.44
451,0.01089,5.445
451.1,0.01088,5.44
451.2,0.01088,5.44
451.3,0.01088,5.44
451.4,0.01088,5.44
451.5,0.01088,5.44
451.6,0.01088,5.44
451.7,0.01088,5.44
451.8,0.01087,5.435
451.9,0.01087,5.435
452,0.01088,5.44
452.1,0.01089,5.445
452.2,0.01088,5.44
452.3,0.01088,5.44
452.4,0.01089,5.445
452.5,0.01088,5.44
452.6,0.01089,5.445
452.7,0.01088,5.44
452.8,0.01088,5.44
452.9,0.01089,5.445
453,0.01089,5.445
453.1,0.01089,5.445
453.2,0.01089,5.445
453.3,0.01089,5.445
453.4,0.01089,5.445
453.5,0.01089,5.445
453.6,0.01089,5.445
453.7,0.01088,5.44
453.8,0.01089,5.445
453.9,0.01088,5.44
454,0.01088,5.44
454.1,0.01088,5.44
454.2,0.01088,5.44
454.3,0.01088,5.44
454.4,0.01089,5.445
454.5,0.01089,5.445
454.6,0.01089,5.445
454.7,0.01089,5.445
454.8,0.01089,5.445
454.9,0.01089,5.445
455,0.01089,5.445
455.1,0.01089,5.445
455.2,0.01089,5.445
455.3,0.01089,5.445
455.4,0.01088,5.44
455.5,0.01089,5.445
455.6,0.01089,5.445
455.7,0.01089,5.445
455.8,0.01089,5.445
455.9,0.01088,5.44
456,0.01089,5.445
456.1,0.01089,5.445
456.2,0.01088,5.44
456.3,0.01089,5.445
456.4,0.0109,5.45
456.5,0.01089,5.445
456.6,0.01089,5.445
456.7,0.0109,5.45
456.8,0.01089,5.445
456.9,0.01088,5.44
457,0.01088,5.44
457.1,0.01089,5.445
457.2,0.01089,5.445
457.3,0.01088,5.44
457.4,0.01088,5.44
457.5,0.01089,5.445
457.6,0.01088,5.44
457.7,0.01089,5.445
457.8,0.01089,5.445
457.9,0.01088,5.44
458,0.01089,5.445
458.1,0.01089,5.445
458.2,0.01089,5.445
458.3,0.01089,5.445
458.4,0.0109,5.45
458.5,0.01089,5.445
458.6,0.01089,5.445
458.7,0.01088,5.44
458.8,0.01089,5.445
458.9,0.01089,5.445
459,0.01089,5.445
459.1,0.01089,5.445
459.2,0.01089,5.445
459.3,0.01089,5.445
459.4,0.01089,5.445
459.5,0.01088,5.44
459.6,0.01088,5.44
459.7,0.01088,5.44
459.8,0.01089,5.445
459.9,0.01089,5.445
460,0.01089,5.445
460.1,0.01089,5.445
460.2,0.01089,5.445
460.3,0.01089,5.445
460.4,0.01089,5.445
460.5,0.01089,5.445
460.6,0.01088,5.44
460.7,0.01088,5.44
460.8,0.01088,5.44
460.9,0.01088,5.44
461,0.01088,5.44
461.1,0.01088,5.44
461.2,0.01089,5.445
461.3,0.01088,5.44
461.4,0.01088,5.44
461.5,0.01088,5.44
461.6,0.01089,5.445
461.7,0.01088,5.44
461.8,0.01088,5.44
461.9,0.01088,5.44
462,0.01088,5.44
462.1,0.01088,5.44
462.2,0.01088,5.44
462.3,0.01088,5.44
462.4,0.01088,5.44
462.5,0.01089,5.445
462.6,0.01089,5.445
462.7,0.01088,5.44
462.8,0.01089,5.445
462.9,0.01089,5.445
463,0.01089,5.445
463.1,0.01089,5.445
463.2,0.01088,5.44
463.3,0.01088,5.44
463.4,0.01089,5.445
463.5,0.01088,5.44
463.6,0.01088,5.44
463.7,0.01088,5.44
463.8,0.01089,5.445
463.9,0.01089,5.445
464,0.01089,5.445
464.1,0.01089,5.445
464.2,0.01089,5.445
464.3,0.01089,5.445
464.4,0.01088,5.44
464.5,0.01089,5.445
464.6,0.01088,5.44
464.7,0.01089,5.445
464.8,0.01089,5.445
464.9,0.01089,5.445
465,0.01088,5.44
465.1,0.01088,5.44
465.2,0.01088,5.44
465.3,0.01089,5.445
465.4,0.01089,5.445
465.5,0.01089,5.445
465.6,0.01089,5.445
465.7,0.01089,5.445
465.8,0.01089,5.445
465.9,0.01088,5.44
466,0.01088,5.44
466.1,0.01088,5.44
466.2,0.01088,5.44
466.3,0.01088,5.44
466.4,0.01088,5.44
466.5,0.01088,5.44
466.6,0.01088,5.44
466.7,0.01088,5.44
466.8,0.01088,5.44
466.9,0.01088,5.44
467,0.01088,5.44
467.1,0.01088,5.44
467.2,0.01088,5.44
467.3,0.01088,5.44
467.4,0.01089,5.445
467.5,0.01089,5.445
467.6,0.01089,5.445
467.7,0.01088,5.44
467.8,0.01088,5.44
467.9,0.01088,5.44
468,0.01088,5.44
468.1,0.01088,5.44
468.2,0.01088,5.44
468.3,0.01088,5.44
468.4,0.01088,5.44
468.5,0.01088,5.44
468.6,0.01088,5.44
468.7,0.01089,5.445
468.8,0.01088,5.44
468.9,0.01088,5.44
469,0.01088,5.44
469.1,0.01088,5.44
469.2,0.01088,5.44
469.3,0.01088,5.44
469.4,0.01088,5.44
469.5,0.01087,5.435
469.6,0.01087,5.435
469.7,0.01088,5.44
469.8,0.01088,5.44
469.9,0.01088,5.44
470,0.01088,5.44
470.1,0.01088,5.44
470.2,0.01087,5.435
470.3,0.01088,5.44
470.4,0.01087,5.435
470.5,0.01088,5.44
470.6,0.01088,5.44
470.7,0.01088,5.44
470.8,0.01088,5.44
470.9,0.01087,5.435
471,0.01088,5.44
471.1,0.01089,5.445
471.2,0.01088,5.44
471.3,0.01088,5.44
471.4,0.01088,5.44
471.5,0.01088,5.44
471.6,0.01088,5.44
471.7,0.01088,5.44
471.8,0.01088,5.44
471.9,0.01088,5.44
472,0.01089,5.445
472.1,0.01088,5.44
472.2,0.01087,5.435
472.3,0.01087,5.435
472.4,0.01087,5.435
472.5,0.01087,5.435
472.6,0.01089,5.445
472.7,0.01088,5.44
472.8,0.01087,5.435
472.9,0.01087,5.435
473,0.01087,5.435
473.1,0.01088,5.44
473.2,0.01089,5.445
473.3,0.01088,5.44
473.4,0.01088,5.44
473.5,0.01088,5.44
473.6,0.01087,5.435
473.7,0.01087,5.435
473.8,0.01087,5.435
473.9,0.01088,5.44
474,0.01087,5.435
474.1,0.01087,5.435
474.2,0.01087,5.435
474.3,0.01087,5.435
474.4,0.01088,5.44
474.5,0.01087,5.435
474.6,0.01088,5.44
474.7,0.01088,5.44
474.8,0.01088,5.44
474.9,0.01088,5.44
475,0.01087,5.435
475.1,0.01087,5.435
475.2,0.01088,5.44
475.3,0.01088,5.44
475.4,0.01087,5.435
475.5,0.01088,5.44
475.6,0.01088,5.44
475.7,0.01088,5.44
475.8,0.01088,5.44
475.9,0.01088,5.44
476,0.01088,5.44
476.1,0.01088,5.44
476.2,0.01088,5.44
476.3,0.01088,5.44
476.4,0.01087,5.435
476.5,0.01087,5.435
476.6,0.01088,5.44
476.7,0.01088,5.44
476.8,0.01089,5.445
476.9,0.01088,5.44
477,0.01088,5.44
477.1,0.01088,5.44
477.2,0.01088,5.44
477.3,0.01088,5.44
477.4,0.01089,5.445
477.5,0.01088,5.44
477.6,0.01088,5.44
477.7,0.01087,5.435
477.8,0.01087,5.435
477.9,0.01087,5.435
478,0.01087,5.435
478.1,0.01088,5.44
478.2,0.01088,5.44
478.3,0.01088,5.44
478.4,0.01087,5.435
478.5,0.01087,5.435
478.6,0.01087,5.435
478.7,0.01087,5.435
478.8,0.01088,5.44
478.9,0.01087,5.435
479,0.01087,5.435
479.1,0.01086,5.43
479.2,0.01086,5.43
479.3,0.01087,5.435
479.4,0.01087,5.435
479.5,0.01087,5.435
479.6,0.01087,5.435
479.7,0.01087,5.435
479.8,0.01087,5.435
479.9,0.01087,5.435
480,0.01087,5.435
480.1,0.01087,5.435
480.2,0.01088,5.44
480.3,0.01088,5.44
480.4,0.01087,5.435
480.5,0.01087,5.435
480.6,0.01088,5.44
480.7,0.01088,5.44
480.8,0.01087,5.435
480.9,0.01086,5.43
481,0.01087,5.435
481.1,0.01087,5.435
481.2,0.01087,5.435
481.3,0.01087,5.435
481.4,0.01088,5.44
481.5,0.01087,5.435
481.6,0.01087,5.435
481.7,0.01087,5.435
481.8,0.01087,5.435
481.9,0.01086,5.43
482,0.01087,5.435
482.1,0.01088,5.44
482.2,0.01088,5.44
482.3,0.01087,5.435
482.4,0.01087,5.435
482.5,0.01087,5.435
482.6,0.01087,5.435
482.7,0.01087,5.435
482.8,0.01087,5.435
482.9,0.01088,5.44
483,0.01087,5.435
483.1,0.01087,5.435
483.2,0.01087,5.435
483.3,0.01088,5.44
483.4,0.01088,5.44
483.5,0.01087,5.435
483.6,0.01087,5.435
483.7,0.01087,5.435
483.8,0.01087,5.435
483.9,0.01087,5.435
484,0.01087,5.435
484.1,0.01087,5.435
484.2,0.01087,5.435
484.3,0.01088,5.44
484.4,0.01088,5.44
484.5,0.01088,5.44
484.6,0.01088,5.44
484.7,0.01087,5.435
484.8,0.01087,5.435
484.9,0.01087,5.435
485,0.01087,5.435
485.1,0.01088,5.44
485.2,0.01088,5.44
485.3,0.01087,5.435
485.4,0.01088,5.44
485.5,0.01088,5.44
485.6,0.01088,5.44
485.7,0.01087,5.435
485.8,0.01087,5.435
485.9,0.01088,5.44
486,0.01087,5.435
486.1,0.01087,5.435
486.2,0.01088,5.44
486.3,0.01087,5.435
486.4,0.01088,5.44
486.5,0.01087,5.435
486.6,0.01087,5.435
486.7,0.01087,5.435
486.8,0.01086,5.43
486.9,0.01086,5.43
487,0.01087,5.435
487.1,0.01087,5.435
487.2,0.01087,5.435
487.3,0.01087,5.435
487.4,0.01088,5.44
487.5,0.01087,5.435
487.6,0.01087,5.435
487.7,0.01086,5.43
487.8,0.01087,5.435
487.9,0.01087,5.435
488,0.01087,5.435
488.1,0.01087,5.435
488.2,0.01087,5.435
488.3,0.01087,5.435
488.4,0.01088,5.44
488.5,0.01088,5.44
488.6,0.01087,5.435
488.7,0.01087,5.435
488.8,0.01087,5.435
488.9,0.01087,5.435
489,0.01087,5.435
489.1,0.01087,5.435
489.2,0.01088,5.44
489.3,0.01087,5.435
489.4,0.01087,5.435
489.5,0.01088,5.44
489.6,0.01088,5.44
489.7,0.01088,5.44
489.8,0.01088,5.44
489.9,0.01088,5.44
490,0.01088,5.44
490.1,0.01087,5.435
490.2,0.01088,5.44
490.3,0.01088,5.44
490.4,0.01088,5.44
490.5,0.01088,5.44
490.6,0.01088,5.44
490.7,0.01088,5.44
490.8,0.01088,5.44
490.9,0.01088,5.44
491,0.01088,5.44
491.1,0.01088,5.44
491.2,0.01088,5.44
491.3,0.01087,5.435
491.4,0.01088,5.44
491.5,0.01088,5.44
491.6,0.01088,5.44
491.7,0.01088,5.44
491.8,0.01088,5.44
491.9,0.01088,5.44
492,0.01088,5.44
492.1,0.01089,5.445
492.2,0.01088,5.44
492.3,0.01087,5.435
492.4,0.01087,5.435
492.5,0.01087,5.435
492.6,0.01086,5.43
492.7,0.01087,5.435
492.8,0.01088,5.44
492.9,0.01088,5.44
493,0.01088,5.44
493.1,0.01087,5.435
493.2,0.01088,5.44
493.3,0.01088,5.44
493.4,0.01087,5.435
493.5,0.01087,5.435
493.6,0.01087,5.435
493.7,0.01087,5.435
493.8,0.01088,5.44
493.9,0.01089,5.445
494,0.01089,5.445
494.1,0.01088,5.44
494.2,0.01088,5.44
494.3,0.01088,5.44
494.4,0.01088,5.44
494.5,0.01088,5.44
494.6,0.01087,5.435
494.7,0.01087,5.435
494.8,0.01088,5.44
494.9,0.01087,5.435
495,0.01087,5.435
495.1,0.01088,5.44
495.2,0.01089,5.445
495.3,0.01088,5.44
495.4,0.01088,5.44
495.5,0.01088,5.44
495.6,0.01088,5.44
495.7,0.01088,5.44
495.8,0.01088,5.44
495.9,0.01088,5.44
496,0.01088,5.44
496.1,0.01088,5.44
496.2,0.01087,5.435
496.3,0.01087,5.435
496.4,0.01088,5.44
496.5,0.01087,5.435
496.6,0.01087,5.435
496.7,0.01087,5.435
496.8,0.01087,5.435
496.9,0.01087,5.435
497,0.01087,5.435
497.1,0.01087,5.435
497.2,0.01088,5.44
497.3,0.01088,5.44
497.4,0.01087,5.435
497.5,0.01087,5.435
497.6,0.01087,5.435
497.7,0.01087,5.435
497.8,0.01087,5.435
497.9,0.01087,5.435
498,0.01087,5.435
498.1,0.01087,5.435
498.2,0.01087,5.435
498.3,0.01087,5.435
498.4,0.01088,5.44
498.5,0.01088,5.44
498.6,0.01087,5.435
498.7,0.01087,5.435
498.8,0.01088,5.44
498.9,0.01087,5.435
499,0.01087,5.435
499.1,0.01088,5.44
499.2,0.01087,5.435
499.3,0.01087,5.435
499.4,0.01088,5.44
499.5,0.01088,5.44
499.6,0.01088,5.44
499.7,0.01087,5.435
499.8,0.01087,5.435
499.9,0.01087,5.435
500,0.01087,5.435
500.1,0.01087,5.435
500.2,0.01086,5.43
500.3,0.01086,5.43
500.4,0.01087,5.435
500.5,0.01087,5.435
500.6,0.01087,5.435
500.7,0.01088,5.44
500.8,0.01087,5.435
500.9,0.01087,5.435
501,0.01087,5.435
501.1,0.01088,5.44
501.2,0.01088,5.44
501.3,0.01088,5.44
501.4,0.01087,5.435
501.5,0.01088,5.44
501.6,0.01087,5.435
501.7,0.01088,5.44
501.8,0.01087,5.435
501.9,0.01087,5.435
502,0.01087,5.435
502.1,0.01087,5.435
502.2,0.01088,5.44
502.3,0.01088,5.44
502.4,0.01087,5.435
502.5,0.01087,5.435
502.6,0.01087,5.435
502.7,0.01087,5.435
502.8,0.01087,5.435
502.9,0.01087,5.435
503,0.01087,5.435
503.1,0.01087,5.435
503.2,0.01086,5.43
503.3,0.01086,5.43
503.4,0.01086,5.43
503.5,0.01086,5.43
503.6,0.01087,5.435
503.7,0.01087,5.435
503.8,0.01088,5.44
503.9,0.01087,5.435
504,0.01087,5.435
504.1,0.01087,5.435
504.2,0.01087,5.435
504.3,0.01087,5.435
504.4,0.01087,5.435
504.5,0.01086,5.43
504.6,0.01086,5.43
504.7,0.01087,5.435
504.8,0.01086,5.43
504.9,0.01086,5.43
505,0.01087,5.435
505.1,0.01086,5.43
505.2,0.01086,5.43
505.3,0.01086,5.43
505.4,0.01086,5.43
505.5,0.01086,5.43
505.6,0.01085,5.425
505.7,0.01087,5.435
505.8,0.01087,5.435
505.9,0.01087,5.435
506,0.01087,5.435
506.1,0.01087,5.435
506.2,0.01088,5.44
506.3,0.01088,5.44
506.4,0.01087,5.435
506.5,0.01088,5.44
506.6,0.01088,5.44
506.7,0.01088,5.44
506.8,0.01087,5.435
506.9,0.01087,5.435
507,0.01087,5.435
507.1,0.01087,5.435
507.2,0.01088,5.44
507.3,0.01088,5.44
507.4,0.01087,5.435
507.5,0.01087,5.435
507.6,0.01087,5.435
507.7,0.01087,5.435
507.8,0.01087,5.435
507.9,0.01087,5.435
508,0.01087,5.435
508.1,0.01087,5.435
508.2,0.01087,5.435
508.3,0.01087,5.435
508.4,0.01088,5.44
508.5,0.01088,5.44
508.6,0.01087,5.435
508.7,0.01088,5.44
508.8,0.01087,5.435
508.9,0.01088,5.44
509,0.01087,5.435
509.1,0.01087,5.435
509.2,0.01087,5.435
509.3,0.01087,5.435
509.4,0.01087,5.435
509.5,0.01087,5.435
509.6,0.01088,5.44
509.7,0.01087,5.435
509.8,0.01087,5.435
509.9,0.01088,5.44
510,0.01088,5.44
510.1,0.01087,5.435
510.2,0.01087,5.435
510.3,0.01087,5.435
510.4,0.01087,5.435
510.5,0.01087,5.435
510.6,0.01086,5.43
510.7,0.01087,5.435
510.8,0.01087,5.435
510.9,0.01087,5.435
511,0.01087,5.435
511.1,0.01087,5.435
511.2,0.01087,5.435
511.3,0.01087,5.435
511.4,0.01087,5.435
511.5,0.01087,5.435
511.6,0.01087,5.435
511.7,0.01087,5.435
511.8,0.01086,5.43
511.9,0.01086,5.43
512,0.01086,5.43
512.1,0.01086,5.43
512.2,0.01087,5.435
512.3,0.01087,5.435
512.4,0.01087,5.435
512.5,0.01087,5.435
512.6,0.01086,5.43
512.7,0.01086,5.43
512.8,0.01086,5.43
512.9,0.01087,5.435
513,0.01086,5.43
513.1,0.01085,5.425
513.2,0.01086,5.43
513.3,0.01086,5.43
513.4,0.01086,5.43
513.5,0.01086,5.43
513.6,0.01086,5.43
513.7,0.01086,5.43
513.8,0.01087,5.435
513.9,0.01087,5.435
514,0.01086,5.43
514.1,0.01088,5.44
514.2,0.01088,5.44
514.3,0.01087,5.435
514.4,0.01086,5.43
514.5,0.01087,5.435
514.6,0.01087,5.435
514.7,0.01087,5.435
514.8,0.01087,5.435
514.9,0.01087,5.435
515,0.01087,5.435
515.1,0.01087,5.435
515.2,0.01087,5.435
515.3,0.01086,5.43
515.4,0.01086,5.43
515.5,0.01086,5.43
515.6,0.01087,5.435
515.7,0.01087,5.435
515.8,0.01087,5.435
515.9,0.01086,5.43
516,0.01087,5.435
516.1,0.01088,5.44
516.2,0.01087,5.435
516.3,0.01086,5.43
516.4,0.01087,5.435
516.5,0.01087,5.435
516.6,0.01087,5.435
516.7,0.01086,5.43
516.8,0.01086,5.43
516.9,0.01087,5.435
517,0.01088,5.44
517.1,0.01088,5.44
517.2,0.01087,5.435
517.3,0.01087,5.435
517.4,0.01087,5.435
517.5,0.01087,5.435
517.6,0.01086,5.43
517.7,0.01086,5.43
517.8,0.01087,5.435
517.9,0.01088,5.44
518,0.01088,5.44
518.1,0.01087,5.435
518.2,0.01087,5.435
518.3,0.01087,5.435
518.4,0.01086,5.43
518.5,0.01086,5.43
518.6,0.01086,5.43
518.7,0.01087,5.435
518.8,0.01087,5.435
518.9,0.01087,5.435
519,0.01087,5.435
519.1,0.01086,5.43
519.2,0.01086,5.43
519.3,0.01086,5.43
519.4,0.01086,5.43
519.5,0.01086,5.43
519.6,0.01086,5.43
519.7,0.01086,5.43
519.8,0.01086,5.43
519.9,0.01087,5.435
520,0.01087,5.435
520.1,0.01087,5.435
520.2,0.01087,5.435
520.3,0.01086,5.43
520.4,0.01087,5.435
520.5,0.01086,5.43
520.6,0.01086,5.43
520.7,0.01087,5.435
520.8,0.01087,5.435
520.9,0.01087,5.435
521,0.01087,5.435
521.1,0.01087,5.435
521.2,0.01087,5.435
521.3,0.01087,5.435
521.4,0.01087,5.435
521.5,0.01086,5.43
521.6,0.01086,5.43
521.7,0.01086,5.43
521.8,0.01086,5.43
521.9,0.01086,5.43
522,0.01086,5.43
522.1,0.01086,5.43
522.2,0.01087,5.435
522.3,0.01087,5.435
522.4,0.01086,5.43
522.5,0.01086,5.43
522.6,0.01086,5.43
522.7,0.01086,5.43
522.8,0.01087,5.435
522.9,0.01087,5.435
523,0.01087,5.435
523.1,0.01087,5.435
523.2,0.01087,5.435
523.3,0.01087,5.435
523.4,0.01087,5.435
523.5,0.01087,5.435
523.6,0.01087,5.435
523.7,0.01088,5.44
523.8,0.01087,5.435
523.9,0.01087,5.435
524,0.01087,5.435
524.1,0.01087,5.435
524.2,0.01087,5.435
524.3,0.01087,5.435
524.4,0.01087,5.435
524.5,0.01087,5.435
524.6,0.01087,5.435
524.7,0.01088,5.44
524.8,0.01088,5.44
524.9,0.01087,5.435
525,0.01087,5.435
525.1,0.01086,5.43
525.2,0.01086,5.43
525.3,0.01087,5.435
525.4,0.01087,5.435
525.5,0.01086,5.43
525.6,0.01087,5.435
525.7,0.01087,5.435
525.8,0.01086,5.43
525.9,0.01087,5.435
526,0.01087,5.435
526.1,0.01086,5.43
526.2,0.01086,5.43
526.3,0.01087,5.435
526.4,0.01087,5.435
526.5,0.01087,5.435
526.6,0.01087,5.435
526.7,0.01087,5.435
526.8,0.01086,5.43
526.9,0.01086,5.43
527,0.01086,5.43
527.1,0.01086,5.43
527.2,0.01086,5.43
527.3,0.01086,5.43
527.4,0.01086,5.43
527.5,0.01086,5.43
527.6,0.01087,5.435
527.7,0.01086,5.43
527.8,0.01087,5.435
527.9,0.01086,5.43
528,0.01086,5.43
528.1,0.01086,5.43
528.2,0.01086,5.43
528.3,0.01086,5.43
528.4,0.01087,5.435
528.5,0.01086,5.43
528.6,0.01086,5.43
528.7,0.01086,5.43
528.8,0.01087,5.435
528.9,0.01086,5.43
529,0.01086,5.43
529.1,0.01086,5.43
529.2,0.01086,5.43
529.3,0.01086,5.43
529.4,0.01086,5.43
529.5,0.01086,5.43
529.6,0.01086,5.43
529.7,0.01086,5.43
529.8,0.01087,5.435
529.9,0.01087,5.435
530,0.01086,5.43
530.1,0.01087,5.435
530.2,0.01086,5.43
530.3,0.01087,5.435
530.4,0.01086,5.43
530.5,0.01087,5.435
530.6,0.01087,5.435
530.7,0.01087,5.435
530.8,0.01086,5.43
530.9,0.01086,5.43
531,0.01086,5.43
531.1,0.01087,5.435
531.2,0.01087,5.435
531.3,0.01087,5.435
531.4,0.01087,5.435
531.5,0.01087,5.435
531.6,0.01087,5.435
531.7,0.01086,5.43
531.8,0.01086,5.43
531.9,0.01086,5.43
532,0.01087,5.435
532.1,0.01087,5.435
532.2,0.01087,5.435
532.3,0.01087,5.435
532.4,0.01086,5.43
532.5,0.01086,5.43
532.6,0.01086,5.43
532.7,0.01086,5.43
532.8,0.01086,5.43
532.9,0.01087,5.435
533,0.01086,5.43
533.1,0.01086,5.43
533.2,0.01086,5.43
533.3,0.01086,5.43
533.4,0.01086,5.43
533.5,0.01086,5.43
533.6,0.01086,5.43
533.7,0.01086,5.43
533.8,0.01086,5.43
533.9,0.01086,5.43
534,0.01086,5.43
534.1,0.01087,5.435
534.2,0.01087,5.435
534.3,0.01086,5.43
534.4,0.01086,5.43
534.5,0.01086,5.43
534.6,0.01086,5.43
534.7,0.01086,5.43
534.8,0.01087,5.435
534.9,0.01087,5.435
535,0.01087,5.435
535.1,0.01086,5.43
535.2,0.01086,5.43
535.3,0.01086,5.43
535.4,0.01087,5.435
535.5,0.01087,5.435
535.6,0.01086,5.43
535.7,0.01086,5.43
535.8,0.01086,5.43
535.9,0.01086,5.43
536,0.01087,5.435
536.1,0.01087,5.435
536.2,0.01086,5.43
536.3,0.01086,5.43
536.4,0.01086,5.43
536.5,0.01086,5.43
536.6,0.01086,5.43
536.7,0.01086,5.43
536.8,0.01086,5.43
536.9,0.01087,5.435
537,0.01086,5.43
537.1,0.01086,5.43
537.2,0.01086,5.43
537.3,0.01086,5.43
537.4,0.01086,5.43
537.5,0.01085,5.425
537.6,0.01085,5.425
537.7,0.01085,5.425
537.8,0.01085,5.425
537.9,0.01085,5.425
538,0.01086,5.43
538.1,0.01086,5.43
538.2,0.01086,5.43
538.3,0.01086,5.43
538.4,0.01086,5.43
538.5,0.01086,5.43
538.6,0.01086,5.43
538.7,0.01086,5.43
538.8,0.01086,5.43
538.9,0.01086,5.43
539,0.01085,5.425
539.1,0.01085,5.425
539.2,0.01086,5.43
539.3,0.01086,5.43
539.4,0.01085,5.425
539.5,0.01086,5.43
539.6,0.01087,5.435
539.7,0.01086,5.43
539.8,0.01086,5.43
539.9,0.01087,5.435
540,0.01086,5.43
540.1,0.01086,5.43
540.2,0.01085,5.425
540.3,0.01086,5.43
540.4,0.01086,5.43
540.5,0.01086,5.43
540.6,0.01085,5.425
540.7,0.01085,5.425
540.8,0.01085,5.425
540.9,0.01085,5.425
541,0.01086,5.43
541.1,0.01087,5.435
541.2,0.01086,5.43
541.3,0.01086,5.43
541.4,0.01086,5.43
541.5,0.01086,5.43
541.6,0.01085,5.425
541.7,0.01085,5.425
541.8,0.01086,5.43
541.9,0.01086,5.43
542,0.01087,5.435
542.1,0.01086,5.43
542.2,0.01087,5.435
542.3,0.01087,5.435
542.4,0.01087,5.435
542.5,0.01087,5.435
542.6,0.01087,5.435
542.7,0.01087,5.435
542.8,0.01086,5.43
542.9,0.01086,5.43
543,0.01086,5.43
543.1,0.01086,5.43
543.2,0.01087,5.435
543.3,0.01086,5.43
543.4,0.01086,5.43
543.5,0.01086,5.43
543.6,0.01086,5.43
543.7,0.01086,5.43
543.8,0.01086,5.43
543.9,0.01086,5.43
544,0.01086,5.43
544.1,0.01086,5.43
544.2,0.01085,5.425
544.3,0.01086,5.43
544.4,0.01085,5.425
544.5,0.01086,5.43
544.6,0.01087,5.435
544.7,0.01087,5.435
544.8,0.01087,5.435
544.9,0.01086,5.43
545,0.01086,5.43
545.1,0.01086,5.43
545.2,0.01087,5.435
545.3,0.01087,5.435
545.4,0.01087,5.435
545.5,0.01086,5.43
545.6,0.01086,5.43
545.7,0.01086,5.43
545.8,0.01087,5.435
545.9,0.01087,5.435
546,0.01086,5.43
546.1,0.01086,5.43
546.2,0.01087,5.435
546.3,0.01087,5.435
546.4,0.01087,5.435
546.5,0.01087,5.435
546.6,0.01087,5.435
546.7,0.01086,5.43
546.8,0.01086,5.43
546.9,0.01086,5.43
547,0.01087,5.435
547.1,0.01087,5.435
547.2,0.01087,5.435
547.3,0.01087,5.435
547.4,0.01087,5.435
547.5,0.01087,5.435
547.6,0.01086,5.43
547.7,0.01086,5.43
547.8,0.01086,5.43
547.9,0.01086,5.43
548,0.01086,5.43
548.1,0.01087,5.435
548.2,0.01086,5.43
548.3,0.01086,5.43
548.4,0.01086,5.43
548.5,0.01086,5.43
548.6,0.01087,5.435
548.7,0.01086,5.43
548.8,0.01086,5.43
548.9,0.01087,5.435
549,0.01086,5.43
549.1,0.01086,5.43
549.2,0.01086,5.43
549.3,0.01086,5.43
549.4,0.01086,5.43
549.5,0.01086,5.43
549.6,0.01085,5.425
549.7,0.01086,5.43
549.8,0.01086,5.43
549.9,0.01086,5.43
550,0.01087,5.435
550.1,0.01086,5.43
550.2,0.01086,5.43
550.3,0.01085,5.425
550.4,0.01085,5.425
550.5,0.01085,5.425
550.6,0.01086,5.43
550.7,0.01086,5.43
550.8,0.01086,5.43
550.9,0.01085,5.425
551,0.01086,5.43
551.1,0.01085,5.425
551.2,0.01085,5.425
551.3,0.01086,5.43
551.4,0.01086,5.43
551.5,0.01086,5.43
551.6,0.01086,5.43
551.7,0.01086,5.43
551.8,0.01086,5.43
551.9,0.01087,5.435
552,0.01086,5.43
552.1,0.01087,5.435
552.2,0.01087,5.435
552.3,0.01086,5.43
552.4,0.01087,5.435
552.5,0.01086,5.43
552.6,0.01086,5.43
552.7,0.01086,5.43
552.8,0.01085,5.425
552.9,0.01086,5.43
553,0.01085,5.425
553.1,0.01086,5.43
553.2,0.01087,5.435
553.3,0.01086,5.43
553.4,0.01086,5.43
553.5,0.01086,5.43
553.6,0.01086,5.43
553.7,0.01085,5.425
553.8,0.01086,5.43
553.9,0.01086,5.43
554,0.01086,5.43
554.1,0.01085,5.425
554.2,0.01086,5.43
554.3,0.01086,5.43
554.4,0.01086,5.43
554.5,0.01086,5.43
554.6,0.01087,5.435
554.7,0.01087,5.435
554.8,0.01087,5.435
554.9,0.01087,5.435
555,0.01087,5.435
555.1,0.01087,5.435
555.2,0.01086,5.43
555.3,0.01086,5.43
555.4,0.01086,5.43
555.5,0.01086,5.43
555.6,0.01086,5.43
555.7,0.01086,5.43
555.8,0.01086,5.43
555.9,0.01086,5.43
556,0.01085,5.425
